,State 0,State 1,State 2,State 3,State 4
State 0,0.51,0.067,0.275,0.14,0.008
State 1,0.222,0.274,0.197,0.308,0.0
State 2,0.342,0.083,0.39,0.026,0.158
State 3,0.167,0.108,0.044,0.68,0.0
State 4,0.107,0.0,0.167,0.0,0.726
Init prob,0.44166666666666665,0.20833333333333334,0.1875,0.1125,0.05
