,State 0,State 1,State 2,State 3,State 4
State 0,0.619,0.08,0.175,0.126,0.0
State 1,0.25,0.493,0.092,0.164,0.0
State 2,0.399,0.09,0.511,0.0,0.0
State 3,0.229,0.106,0.061,0.603,0.0
State 4,,,,,
Init prob,0.4875,0.175,0.22916666666666666,0.10833333333333334,0.0
